,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
148,148,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,935254.0,1177.0,470269,22.435,0.03506,3.611,20.004,16.008,19.998,1751572,4017669,3134970,9998995,18903206,1751572,4017669,9998995,3134970,0.73592913
152,152,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,885239.0,1850.0,243737,28.241,0.02001,3.71,19.997,16.003,19.999,1805082,3076456,4115672,9999478,18996688,1805082,3076456,9999478,4115672,0.8241469
153,153,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,834559.0,1698.0,529452,28.207,0.0162,3.706,20.009,16.002,19.997,1803188,3078806,4119630,9998365,18999989,1803188,3078806,9998365,4119630,0.82334006
155,155,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,800716.0,1688.0,138114,28.234,0.0145,3.704,20.006,15.998,20.004,1802076,3064584,4120825,10002225,18989710,1802076,3064584,10002225,4120825,0.8238222
159,159,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,830588.0,1720.0,538537,28.261,0.01592,3.71,20.007,15.994,20.002,1805015,3073350,4121277,10001119,19000761,1805015,3073350,10001119,4121277,0.824131
161,161,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,737658.0,1623.0,603385,28.202,0.01236,3.715,20.009,15.987,20.004,1807618,3071729,4118373,10001814,18999534,1807618,3071729,10001814,4118373,0.82334745
163,163,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,814820.0,1774.0,850185,28.221,0.01517,3.713,19.995,16.002,19.996,1806140,3073835,4119041,9997847,18996863,1806140,3073835,9997847,4119041,0.82357264
164,164,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,884502.0,1831.0,120443,28.204,0.01999,3.703,19.999,16.004,20.001,1801621,3070263,4116863,10000598,18989345,1801621,3070263,10000598,4116863,0.8233954
165,165,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,786466.0,1701.0,241139,28.222,0.01394,3.706,20.01,15.999,20.002,1802577,3066907,4117921,10000887,18988292,1802577,3066907,10000887,4117921,0.82358974
169,169,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,798651.0,1647.0,108771,28.216,0.01448,3.711,19.996,16.003,20.002,1805423,3076020,4119780,10001155,19002378,1805423,3076020,10001155,4119780,0.823532
174,174,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,773596.0,1585.0,104823,28.247,0.01349,3.712,19.995,15.991,20.006,1805358,3066899,4118844,10003135,18994236,1805358,3066899,10003135,4118844,0.8241296
