,data_points,rmsd,rmpse,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
9162,1526,5715.672716086606,0.055767674643487,0.993548387096774,1.682560899834648e-147,0.937138130686518,1.590904885766138e-67
1662,1526,5842.421317139839,0.0562970025848419,0.994288062461475,1.4652897507376583e-151,0.9427626137303556,2.576097003654214e-68
8662,1526,5445.864798161989,0.0523929796234974,0.9920216212798912,2.013622974899693e-140,0.9296939619520264,1.7414359458813872e-66
10662,1526,5574.7159430364745,0.0544885117348274,0.9946104850563448,1.6911818773918956e-153,0.9455748552522748,1.0324248936867288e-68
11162,1526,6379.5771284948005,0.061919503270291,0.9938960977383,2.393187166594964e-149,0.9412737799834574,4.175589960045189e-68
7162,1526,6421.614560467382,0.0625283265464787,0.9939245467907888,1.671925654333299e-149,0.940281224152192,5.759329813850183e-68
8162,1526,5284.029518974331,0.0526303782419396,0.9888290053895148,3.216365423208927e-129,0.913978494623656,2.5578179631327314e-64
4662,1526,5256.580635760361,0.05144627120846,0.993769657505018,1.1549030475216145e-148,0.9399503722084368,6.41048351484667e-68
14162,1526,6368.235081088607,0.0609044856827359,0.994673705172986,6.833420645486336e-154,0.9452440033085197,1.1498403663954782e-68
11662,1526,4914.70866342619,0.0482690836324152,0.9931279733211108,2.138811239371447e-145,0.9366418527708852,1.8671731745517616e-67
4162,1526,6267.151042577599,0.0607087406007051,0.9926158903763176,5.31159204249593e-143,0.9318444995864352,8.740205174936934e-67
10162,1526,5966.612261475751,0.0576613840062251,0.9943828926364368,4.051603333899704e-152,0.9430934656741108,2.3136897374568327e-68
5162,1526,6140.842869166696,0.0590805356322631,0.9947622133362836,1.8867930406744652e-154,0.9454094292803972,1.08955721896929e-68
3662,1526,4575.752028701356,0.0453841954428174,0.9927138815571114,1.9058113253494481e-143,0.933498759305211,5.137563546015274e-67
2162,1526,5132.792886111231,0.0501100352091259,0.9949613567037032,9.610457091692106e-156,0.9470636889991728,6.355523151367464e-69
6662,1526,5688.127826827915,0.0556445900667935,0.991509538335098,2.376208403694805e-138,0.9277088502894956,3.2858959233545713e-66
13162,1526,6534.330034495272,0.0630775470310958,0.9926253733938138,4.812891710191428e-143,0.9325062034739454,7.067481037256434e-67
3162,1526,5835.778425297279,0.0568847146198425,0.9942912234673073,1.4043127747785046e-151,0.9439205955334988,1.7684436609475855e-68
162,1526,5208.261153631924,0.0504343101349811,0.9951668220827866,3.9253233959382105e-157,0.9478908188585607,4.852320122148472e-69
6163,1535,6025.012739410996,0.058244700559203,0.9947242812662987,3.2840478741619345e-154,0.9449131513647644,1.2805612877770239e-68
8663,1535,6484.441907145516,0.0626307210186648,0.993817072592499,6.424683753845788e-149,0.9406120760959472,5.174124164566907e-68
10163,1535,6376.148218655576,0.0616272934213489,0.992530543218852,1.282706284813972e-142,0.9330024813895782,6.026001376716666e-67
13663,1535,5671.361143141842,0.0553132696597281,0.99320383746108,9.124086430335595e-146,0.9361455748552524,2.191232130961349e-67
2663,1535,5804.1013047586375,0.0561681615933986,0.9952901013102368,5.3933031680781984e-158,0.9498759305210918,2.536589552345459e-69
5163,1535,6180.472349355473,0.0589123701220927,0.9957136760917324,3.867444943845143e-161,0.9515301902398676,1.4758883713522405e-69
7663,1535,5415.142596555875,0.0532306262623366,0.993029982140317,6.339394538611113e-145,0.9336641852770884,4.871451703423226e-67
1163,1535,5002.583267370262,0.0494536569702198,0.994904458598726,2.2767862418649183e-155,0.9487179487179488,3.7037863166801925e-69
5663,1535,5900.111363356062,0.0571839220612987,0.995362804444374,1.6323680563195847e-158,0.9500413564929696,2.4029726617963625e-69
13163,1535,4637.6328973339205,0.0459686184256433,0.9934156248518278,8.034584270942218e-147,0.9373035566583954,1.5081896473431552e-67
3663,1535,5823.424193626887,0.0561178141452895,0.9945472649397036,4.141338861784785e-153,0.9419354838709678,3.3692542305385693e-68
12163,1535,5951.820236778283,0.0577576314361003,0.9943228335256278,9.16856583313903e-152,0.9430934656741108,2.3136897374568327e-68
11163,1535,5356.793847634452,0.0519827298401156,0.9938518436566516,4.167044041083896e-149,0.9397849462365592,6.763073501376032e-68
2163,1535,5291.752730888192,0.0526454765266738,0.9938708096916438,3.2871511042981438e-149,0.9397849462365592,6.763073501376032e-68
7163,1535,5489.555937078666,0.0528601660774603,0.9941363341815364,1.0968525440484637e-150,0.9419354838709678,3.3692542305385693e-68
4163,1535,6080.154338891518,0.0586224658231243,0.9945093328697192,7.052555400846691e-153,0.9457402812241522,9.78279214983532e-69
12663,1535,5078.478033185033,0.0501405369861791,0.9923598489039211,7.259915636594761e-142,0.9328370554177008,6.354944582980906e-67
4663,1535,5501.599384679609,0.0539620866534101,0.99398776690743,7.48943259341762e-150,0.939454094292804,7.527288263628415e-68
8163,1535,5582.726109979045,0.0546208909315923,0.9932449305368968,5.728591768834282e-146,0.9359801488833748,2.3112567080991082e-67
1663,1535,5365.1959040763895,0.0527513081897322,0.9926822714987908,2.6566120515933375e-143,0.9331679073614558,5.714031356820737e-67
