,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
289,289,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,982633.0,1349.0,538054,29.952,0.03257,7.035,20.009,15.999,20.0,3514672,2120725,5287929,9999773,20923099,3514672,2120725,9999773,5287929,0.87113535
1479,1479,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,973499.0,1483.0,204524,24.885,0.03525,6.707,20.014,16.0,19.995,3349337,3584899,3587563,9997287,20519086,3349337,3584899,9997287,3587563,0.77056575
3632,3632,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,929358.0,5757.0,341215,37.009,0.0302,2.035,19.986,16.001,20.001,820815,2399257,4314132,10000641,17534845,820815,2399257,10000641,4314132,0.9140868
4187,4187,mauritius,1000000,1000,2020-01-01,2020-12-31,hybrid,967682.0,5087.0,517469,38.347,0.03526,2.697,20.004,16.005,20.001,1233874,2105697,4783672,10000463,18123706,1233874,2105697,10000463,4783672,0.94731736
3384,3384,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,811046.0,2986.0,163784,31.256,0.01637,2.702,19.994,15.996,20.008,1237586,2873434,4179436,10003898,18294354,1237586,2873434,10003898,4179436,0.856795
4594,4594,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,951782.0,3606.0,637632,31.195,0.03518,2.964,19.996,16.004,20.001,1390072,2850780,4200487,10000440,18441779,1390072,2850780,10000440,4200487,0.8568067
2502,2502,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,894587.0,996.0,735191,21.802,0.02619,3.913,19.988,16.004,20.0,1913992,3926835,3082605,9999817,18923249,1913992,3926835,9999817,3082605,0.7224353
2184,2184,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,690904.0,2862.0,301674,33.981,0.01121,2.965,19.989,16.006,20.003,1390921,2344603,4676157,10001655,18413336,1390921,2344603,10001655,4676157,0.88925725
4417,4417,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953096.0,6589.0,114570,38.393,0.03624,2.128,19.999,16.001,20.004,882176,2131307,4460856,10002159,17476498,882176,2131307,10002159,4460856,0.9351843
3016,3016,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,837970.0,3486.0,112632,34.741,0.01624,2.967,19.996,15.999,19.997,1390997,2336096,4639388,9998433,18364914,1390997,2336096,9998433,4639388,0.8887682
3088,3088,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,889213.0,7265.0,703147,39.361,0.02265,1.963,20.0,16.004,20.003,772522,2015872,4441221,10001508,17231123,772522,2015872,10001508,4441221,0.9522598
3866,3866,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,805573.0,5932.0,885677,39.145,0.015,2.584,20.007,16.003,19.993,1166460,1988127,4489234,9996318,17640139,1166460,1988127,9996318,4489234,0.94409925
561,561,india,1000000,1000,2020-01-01,2020-12-31,hybrid,968310.0,2681.0,558595,31.157,0.03768,3.676,19.996,15.997,20.005,1786520,2858347,4340520,10002589,18987976,1786520,2858347,10002589,4340520,0.86072236
2474,2474,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,800631.0,1165.0,414597,23.156,0.01174,7.659,19.996,16.004,20.0,3827717,3857641,3213623,9999952,20898933,3827717,3857641,9999952,3213623,0.74100417
3160,3160,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,815144.0,1973.0,775052,27.659,0.01605,3.417,20.012,16.009,20.0,1645112,3295330,3877394,9999886,18817722,1645112,3295330,9999886,3877394,0.81327
1481,1481,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,970549.0,1498.0,667720,24.893,0.03347,6.699,20.004,16.008,19.997,3345174,3582657,3594784,9998588,20521203,3345174,3582657,9998588,3594784,0.7709901
3649,3649,réunion,1000000,1000,2020-01-01,2020-12-31,hybrid,903672.0,5511.0,326050,36.989,0.02506,2.034,20.004,16.0,20.0,819140,2411454,4306749,10000154,17537497,819140,2411454,10000154,4306749,0.91403174
1280,1280,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,947411.0,6397.0,828853,38.975,0.02939,2.562,20.03,16.006,19.998,1152123,2046323,4573150,9998954,17770550,1152123,2046323,9998954,4573150,0.9556097
2694,2694,united republic of tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,773784.0,974.0,336038,22.662,0.01564,3.942,20.0,15.999,19.998,1929364,3915899,3163043,9999180,19007486,1929364,3915899,9999180,3163043,0.7329867
1790,1790,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,962948.0,3075.0,792891,32.351,0.03363,3.662,19.991,15.996,20.005,1778618,2571995,4564278,10002727,18917618,1778618,2571995,10002727,4564278,0.87928855
4623,4623,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,810997.0,1947.0,473964,29.74,0.01683,2.603,20.017,16.002,20.0,1178539,2881255,4291874,10000150,18351818,1178539,2881255,10000150,4291874,0.8409084
4383,4383,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,944683.0,7485.0,202725,41.225,0.02807,2.421,20.011,16.006,19.991,1066941,1778413,4786447,9995516,17627317,1066941,1778413,9995516,4786447,0.96933436
1988,1988,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,849247.0,4366.0,649411,39.014,0.01694,2.226,20.001,15.994,19.999,944535,1743130,5073327,9999620,17760612,944535,1743130,9999620,5073327,0.9573543
1407,1407,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,950140.0,10208.0,128602,43.97,0.03062,2.15,20.011,16.002,19.998,896984,1603672,4556032,9999084,17055772,896984,1603672,9999084,4556032,1.0055759
2216,2216,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,911003.0,1027.0,833591,24.033,0.02991,2.843,19.987,15.995,20.0,1319549,3766033,3512733,10000197,18598512,1319549,3766033,10000197,3512733,0.76278913
4041,4041,netherlands,1000000,1000,2020-01-01,2020-12-31,hybrid,918808.0,8918.0,869606,42.756,0.02663,1.735,19.986,15.995,20.004,613197,1798486,4439381,10002125,16853189,613197,1798486,10002125,4439381,0.9912101
72,72,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,869194.0,5808.0,781919,39.036,0.01897,2.117,19.995,16.008,20.01,875158,1925658,4753104,10004977,17558897,875158,1925658,10004977,4753104,0.95923394
3566,3566,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,957660.0,7374.0,960503,40.266,0.03844,1.99,20.0,15.999,20.008,791063,1775153,4680411,10004189,17250816,791063,1775153,10004189,4680411,0.95721614
2208,2208,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,902540.0,1024.0,300150,24.067,0.02821,2.841,19.997,15.991,19.993,1319058,3758662,3518889,9996441,18593050,1319058,3758662,9996441,3518889,0.7636153
3268,3268,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,917209.0,1371.0,642453,24.508,0.02493,4.531,20.009,15.995,19.994,2240183,3622426,3538811,9996856,19398276,2240183,3622426,9996856,3538811,0.7676432
1293,1293,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,896987.0,1227.0,36229,23.256,0.02729,3.221,20.0,16.008,19.993,1536590,3893318,3241565,9996467,18667940,1536590,3893318,9996467,3241565,0.74477977
1307,1307,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,903131.0,1294.0,576515,23.25,0.02851,3.227,19.982,15.999,20.011,1538848,3885084,3239911,10005362,18669205,1538848,3885084,10005362,3239911,0.74460554
2877,2877,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,752972.0,1022.0,156118,23.669,0.01271,4.938,20.003,15.989,20.0,2450252,3813231,3355681,10000095,19619259,2450252,3813231,10000095,3355681,0.7532215
2410,2410,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,959528.0,10353.0,750343,43.38,0.0376,1.987,20.017,16.005,20.0,787806,1640859,4485213,9999810,16913688,787806,1640859,9999810,4485213,0.9930398
683,683,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,926349.0,900.0,902642,21.867,0.03043,4.198,20.001,15.998,20.003,2065431,4060607,3089014,10001285,19216337,2065431,4060607,10001285,3089014,0.7263598
1848,1848,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,948987.0,3246.0,492153,32.061,0.02744,4.298,19.999,15.994,20.006,2118176,2698116,4313661,10002790,19132743,2118176,2698116,10002790,4313661,0.863889
737,737,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,928128.0,1086.0,516928,23.808,0.0317,3.65,20.019,16.005,19.99,1772071,3778200,3372719,9995123,18918113,1772071,3778200,9995123,3372719,0.7517058
582,582,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,947477.0,4810.0,880538,35.588,0.03035,2.695,19.997,15.999,20.004,1232268,2278958,4635639,10002198,18149063,1232268,2278958,10002198,4635639,0.9140316
3284,3284,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,931759.0,8361.0,428345,42.415,0.02628,2.164,20.005,15.998,20.01,904371,1621479,4695048,10004785,17225683,904371,1621479,10004785,4695048,0.9917628
1193,1193,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,941227.0,3176.0,918245,30.882,0.03126,2.977,20.009,16.008,20.003,1397621,2970110,4122294,10001373,18491398,1397621,2970110,10001373,4122294,0.85127205
1107,1107,israel,1000000,1000,2020-01-01,2020-12-31,hybrid,929533.0,5659.0,798150,33.84,0.03174,2.427,20.002,16.002,20.001,1070594,2675452,3938216,10000339,17684601,1070594,2675452,10000339,3938216,0.8777218
4379,4379,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,928443.0,1718.0,809292,27.202,0.0323,2.744,19.992,15.992,20.002,1262338,3267179,3900419,10001028,18430964,1262338,3267179,10001028,3900419,0.8053892
4413,4413,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,952008.0,6732.0,185030,38.417,0.03573,2.132,19.996,16.009,20.0,883736,2123302,4467596,10000245,17474879,883736,2123302,10000245,4467596,0.93552274
2448,2448,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,855034.0,1975.0,629841,26.936,0.01536,5.777,19.991,16.001,20.005,2879176,3463296,3552216,10002425,19897113,2879176,3463296,10002425,3552216,0.7865052
4144,4144,mali,1000000,1000,2020-01-01,2020-12-31,hybrid,907647.0,941.0,443956,21.403,0.02565,4.842,19.988,15.998,20.0,2401470,4104649,2899973,9999757,19405849,2401470,4104649,9999757,2899973,0.7111919
1507,1507,tajikistan,1000000,1000,2020-01-01,2020-12-31,hybrid,962963.0,1531.0,519305,25.783,0.03683,5.021,20.003,16.002,20.009,2493092,3297708,3766877,10004376,19562053,2493092,3297708,10004376,3766877,0.77770066
2261,2261,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,868337.0,2104.0,549146,30.474,0.01802,3.68,20.007,16.008,20.007,1787720,2877876,4243823,10003585,18913004,1787720,2877876,10003585,4243823,0.84189034
3190,3190,mexico,1000000,1000,2020-01-01,2020-12-31,hybrid,743111.0,2764.0,447628,32.054,0.0129,2.929,20.002,15.998,20.003,1369316,2756361,4323558,10001560,18450795,1369316,2756361,10001560,4323558,0.86737543
3096,3096,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,953828.0,1211.0,319019,23.805,0.0302,5.686,20.007,15.998,20.001,2833100,3726007,3474618,10000585,20034310,2833100,3726007,10000585,3474618,0.7620976
2125,2125,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,944605.0,1847.0,477555,26.503,0.02547,5.806,19.989,16.01,20.002,2894024,3383710,3748752,10001128,20027614,2894024,3383710,10001128,3748752,0.794302
4264,4264,thailand,1000000,1000,2020-01-01,2020-12-31,hybrid,960565.0,5943.0,818198,39.653,0.03077,2.885,19.984,16.002,20.005,1344989,1919445,4845380,10002703,18112517,1344989,1919445,10002703,4845380,0.9549741
1994,1994,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,815968.0,4209.0,746718,39.002,0.01519,2.224,20.021,16.0,19.999,943708,1748287,5068680,9999466,17760141,943708,1748287,9999466,5068680,0.9571474
666,666,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,938223.0,949.0,123486,21.864,0.03381,4.194,20.0,15.993,20.001,2063126,4044337,3094241,10000427,19202131,2063126,4044337,10000427,3094241,0.72598165
2131,2131,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,926957.0,10577.0,957655,43.818,0.02822,1.805,20.014,15.998,19.999,661737,1565796,4533228,9999328,16760089,661737,1565796,9999328,4533228,0.9973401
65,65,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,863926.0,6037.0,537671,38.978,0.01862,2.113,20.003,15.992,20.001,872838,1929145,4748678,10000717,17551378,872838,1929145,10000717,4748678,0.958328
