,data_points,rmsd,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
6887,401,5529.32647896941,0.9948096284237644,9.384222974284467e-155,0.9467328370554178,7.079516266976456e-69
3394,401,5142.510603730577,0.9940130549540862,5.418894388250295e-150,0.939454094292804,7.527288263627986e-68
899,401,5710.949994877355,0.9876120181441734,8.818516138582971e-126,0.911166253101737,6.191149885714308e-64
9881,401,5396.090460013543,0.9955619478117936,5.6003888255102794e-160,0.9510339123242348,1.7364217465320679e-69
9382,401,6867.378190856804,0.9909784893553129,2.4887928690597544e-136,0.9245657568238214,8.95477550957628e-66
2396,401,7027.2397324748645,0.992815033743737,6.519715281873899e-144,0.935483870967742,2.712084265744383e-67
7386,401,4775.953647872538,0.9939403518199492,1.3688863407328798e-149,0.9396195202646817,7.134989869417577e-68
14871,401,4646.322840550465,0.9939371908141168,1.4248051168693945e-149,0.9397849462365592,6.763073501375647e-68
11877,401,8235.82776078945,0.9892652241943384,1.522291211570265e-130,0.9204301075268816,3.332072385002557e-65
12875,401,5016.117134084478,0.9939624788607734,1.0337024071363213e-149,0.9401157981803144,6.0762187673900596e-68
5889,401,5110.710173236776,0.9897615021099712,4.0528073812375647e-132,0.9192721257237386,4.808878324652148e-65
10879,401,5597.9798837187855,0.9929288299536912,1.9151960739681882e-144,0.9349875930521092,3.1821568210318536e-67
4891,401,6109.925678556384,0.986913435855289,5.867787271879052e-124,0.9081885856079404,1.573891708608293e-63
2895,401,5755.40108302607,0.9955208547359768,1.1369946434456696e-159,0.9493796526054592,2.9835265607614807e-69
10380,401,5677.702913366786,0.9952205591819316,1.6628937678937575e-157,0.9480562448304384,4.597236788657821e-69
14372,401,6066.874417928962,0.9884591677071644,3.894877067922083e-128,0.915467328370554,1.6001175972760095e-64
8384,401,4361.332318710535,0.9928750928545464,3.423774598105201e-144,0.9368072787427628,1.7701437562607762e-67
400,401,3976.816694588552,0.9869324018902812,5.2515249151967816e-124,0.9080231596360628,1.6574770881241526e-63
5390,401,7561.620027684328,0.98107189707765,1.033307445875295e-111,0.8863523573200993,1.343453122027018e-60
6388,401,5041.666958092345,0.9898974253607496,1.4556593274900578e-132,0.925062034739454,7.64548028838935e-66
4392,401,5408.393925280818,0.9946610611496576,8.198264825714374e-154,0.9459057071960296,9.269645350871519e-69
8883,401,6791.834699582591,0.9928466438020578,4.648357468518066e-144,0.9348221670802316,3.356239255103125e-67
11378,401,6144.6696449646015,0.9921986376064864,3.602219242382418e-141,0.9333333333333332,5.4181615006802675e-67
1897,401,5233.065299300948,0.995252169240252,9.987978040330058e-158,0.9475599669148056,5.40558111070191e-69
1398,401,6356.667464663885,0.9912124037868848,3.321313721020932e-137,0.9260545905707196,5.571795079795755e-66
13873,401,5582.78531863623,0.9937981065575064,8.127623583028336e-149,0.9391232423490488,8.377544119537937e-68
7387,402,6575.761873549987,0.993709598394209,2.4120199000905292e-148,0.9391232423490488,8.377544119537937e-68
11379,402,5698.480770827205,0.9945314599105434,5.172159122058282e-153,0.9444168734491316,1.504922368281267e-68
12876,402,6954.432706360392,0.9929161859303628,2.1965885522654224e-144,0.9344913151364764,3.733390196605248e-67
4892,402,7086.63213529435,0.99149689431177,2.6634257722042368e-138,0.9270471464019852,4.059187635623156e-66
3894,402,5750.298586009319,0.9929067029128666,2.4340549720927613e-144,0.9344913151364764,3.733390196605248e-67
13375,402,5939.133861042669,0.9900143825765356,5.964504890865492e-133,0.920760959470637,3.0002342285935106e-65
900,402,5185.193932230391,0.9948854925637336,3.028659467485738e-155,0.9467328370554178,7.079516266976456e-69
5391,402,6229.963095698256,0.9895876467892084,1.4722550677138826e-131,0.9209263854425144,2.84688176041054e-65
1399,402,4578.749352227697,0.9953722874618702,1.3948164880365784e-158,0.9493796526054592,2.9835265607614807e-69
12377,402,7495.817604488058,0.99366534431256,4.131378940603696e-148,0.9419354838709678,3.3692542305384733e-68
6888,402,6188.375578340319,0.9926569834521344,3.4616024566813802e-143,0.9348221670802316,3.356239255103125e-67
4393,402,5668.3300710107815,0.9921290954781812,7.115503028579163e-141,0.93151364764268,9.719092589645017e-67
13874,402,5648.094994787198,0.9948159504354284,8.545650174110917e-155,0.9460711331679074,8.783332924519427e-69
14872,402,6087.553742297187,0.9933840147935072,1.160388898760662e-146,0.9364764267990074,1.969502765030621e-67
9383,402,4617.087502348485,0.9937190814117052,2.1482495967948654e-148,0.9381306865177832,1.1546587774058856e-67
2397,402,6006.647365982904,0.9921290954781812,7.115503028579163e-141,0.9310173697270472,1.1395971697073293e-66
14373,402,4678.409978158779,0.993659022300896,4.460145238273156e-148,0.939454094292804,7.527288263627986e-68
401,402,5956.204837294533,0.989679315958338,7.477778057040345e-132,0.919602977667494,4.330533896829857e-65
10381,402,4909.623441264836,0.9930236601286528,6.796140753415862e-145,0.9336641852770884,4.871451703423087e-67
6389,402,5933.1894645883085,0.990475889428016,1.5875995068398288e-134,0.9248966087675764,8.05920399392599e-66
1898,402,7514.570433922827,0.9922618577231274,1.9297715068326648e-141,0.9320099255583127,8.288262224315916e-67
8884,402,6853.777556838659,0.9927549746329282,1.2348533668533198e-143,0.9336641852770884,4.871451703423087e-67
9882,402,7520.390211808496,0.9944113416889252,2.743429480495605e-152,0.9437551695616212,1.866131052673609e-68
7886,402,5918.998076762661,0.9945441039338716,4.3298157340310984e-153,0.9460711331679074,8.783332924519427e-69
2896,402,6562.020621021408,0.9949234246337184,1.7097427904977368e-155,0.9457402812241522,9.78279214983504e-69
11878,402,3704.8148260049898,0.994613646062177,1.6166756475801557e-153,0.9447477253928868,1.35137437017172e-68
3395,402,5967.279238721293,0.9868755037853044,7.322201896851801e-124,0.9065343258891646,2.63948240086622e-63
8385,402,7001.73220718602,0.9891545889902166,3.338640010374766e-130,0.9189412737799836,5.339860015938984e-65
10880,402,4963.692609077122,0.9944366297355818,1.936637141505136e-152,0.9437551695616212,1.866131052673609e-68
5890,402,5280.117989509809,0.9892778682176668,1.390891616716791e-130,0.9161290322580644,1.2986884650970956e-64
11879,403,7132.518911383871,0.994288062461475,1.4652897507376583e-151,0.942266335814723,3.026337458486975e-68
5392,403,4923.135636006244,0.9938518436566516,4.167044041083896e-149,0.9387923904052936,9.323492685187048e-68
9384,403,5876.557346966403,0.9941268511640404,1.2417425968135066e-150,0.9421009098428452,3.193210884930943e-68
