,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
407,407,liberia,1000000,1000,2020-01-01,2020-12-31,hybrid,943690.0,1347.0,45401,24.095,0.03446,4.027,19.995,15.987,19.999,1974845,3777940,3342846,9999572,19095203,1974845,3777940,9999572,3342846,0.75516325
1406,1406,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,948485.0,10040.0,270992,44.11,0.02985,2.154,19.996,16.0,20.014,898677,1591881,4558659,10007082,17056299,898677,1591881,10007082,4558659,1.0074526
1709,1709,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962051.0,2654.0,779301,30.207,0.03524,3.583,19.985,15.998,20.002,1735824,2916470,4356486,10000850,19009630,1735824,2916470,10000850,4356486,0.8503228
2350,2350,congo,1000000,1000,2020-01-01,2020-12-31,hybrid,733132.0,997.0,657965,23.9,0.01449,3.43,19.992,15.994,20.005,1652107,3753672,3366014,10002533,18774326,1652107,3753672,10002533,3366014,0.7484692
3156,3156,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,828021.0,1980.0,800580,27.627,0.01674,3.42,19.997,15.986,19.995,1646469,3295657,3867872,9997719,18807717,1646469,3295657,9997719,3867872,0.81285304
1346,1346,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,926837.0,1502.0,907673,25.564,0.03239,3.235,19.998,16.002,19.994,1543837,3315327,3748400,9996842,18604406,1543837,3315327,9996842,3748400,0.77631104
676,676,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,916093.0,916.0,622521,21.852,0.02811,4.192,20.0,16.012,19.991,2062205,4058073,3092643,9995424,19208345,2062205,4058073,9995424,3092643,0.7260149
264,264,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,906894.0,827.0,801447,21.131,0.02961,3.635,20.005,15.993,19.992,1764801,4148746,2947258,9995924,18856729,1764801,4148746,9995924,2947258,0.71316886
2387,2387,benin,1000000,1000,2020-01-01,2020-12-31,hybrid,941714.0,1415.0,524719,23.495,0.03362,4.257,19.999,15.989,20.006,2096114,3822351,3238517,10002757,19159739,2096114,3822351,10002757,3238517,0.74558836
4320,4320,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,862355.0,6417.0,770470,42.858,0.01793,1.95,19.993,15.989,20.003,763619,1508032,5050169,10001415,17323235,763619,1508032,10001415,5050169,0.99586827
2752,2752,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,954362.0,9435.0,204711,44.097,0.03467,1.816,20.0,15.993,19.991,670062,1568807,4573139,9995295,16807303,670062,1568807,9995295,4573139,1.0072994
1560,1560,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,960178.0,2707.0,250065,29.339,0.03462,3.995,19.984,16.002,20.005,1957913,3015241,4145673,10002729,19121556,1957913,3015241,10002729,4145673,0.8355892
2914,2914,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,784021.0,6776.0,26936,42.911,0.01518,1.855,20.005,16.009,20.003,697965,1615306,4613709,10001596,16928576,697965,1615306,10001596,4613709,0.9931589
1123,1123,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,954898.0,10323.0,742445,42.775,0.03704,1.781,20.011,16.001,19.99,646150,1691867,4494899,9995195,16828111,646150,1691867,9995195,4494899,0.99049944
1823,1823,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,769445.0,1068.0,214974,22.268,0.01633,3.486,20.006,15.989,20.004,1682526,4031325,3047207,10001936,18762994,1682526,4031325,10001936,3047207,0.72888434
348,348,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,903134.0,8790.0,819936,41.811,0.02466,1.784,19.995,16.0,20.004,647900,2144311,4165043,10001775,16959029,647900,2144311,10001775,4165043,0.97100157
562,562,india,1000000,1000,2020-01-01,2020-12-31,hybrid,964625.0,2798.0,461843,31.184,0.03546,3.684,19.997,16.001,20.002,1789978,2857457,4344180,10001042,18992657,1789978,2857457,10001042,4344180,0.861044
1060,1060,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,946095.0,3303.0,650097,33.665,0.02749,3.659,19.986,15.995,20.005,1777149,2297914,4744655,10002276,18821994,1777149,2297914,10002276,4744655,0.883546
1727,1727,romania,1000000,1000,2020-01-01,2020-12-31,hybrid,805243.0,7423.0,748901,42.768,0.01496,2.216,20.002,15.998,20.001,938600,1699924,4618947,10000528,17257999,938600,1699924,10000528,4618947,0.99003637
4630,4630,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,849811.0,2054.0,882701,29.79,0.0192,2.614,19.993,15.999,19.998,1184260,2877004,4285888,9999030,18346182,1184260,2877004,9999030,4285888,0.8412139
2871,2871,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,812571.0,1060.0,837352,23.712,0.01497,4.932,19.991,16.006,19.997,2447306,3810160,3363492,9998713,19619671,2447306,3810160,9998713,3363492,0.7539939
2421,2421,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,954501.0,10253.0,358969,43.396,0.03526,1.986,20.012,15.996,20.0,788548,1641780,4486543,10000131,16917002,788548,1641780,10000131,4486543,0.99321496
4345,4345,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,765764.0,5542.0,575150,42.83,0.01359,1.955,20.002,15.993,19.99,764701,1519823,5043624,9995040,17323188,764701,1519823,9995040,5043624,0.9955384
